timestamp,user,enabled_roles,action,entity_category,entity,result,query_id
2026-09-17T15:45:33.902719Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154533_01572_ueuue
2026-09-17T15:45:33.896716Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01572_ueuue
2026-09-17T15:45:33.849992Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01571_ueuue
2026-09-17T15:45:33.807584Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01570_ueuue
2026-09-17T15:45:33.674251Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154533_01569_ueuue
2026-09-17T15:45:33.672203Z,gov-tha,gov_thailand_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[account_id,country_code,customer_name,mobile_number,national_id,email]",ALLOW,20260917_154533_01569_ueuue
2026-09-17T15:45:33.671494Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.account_id,COLUMN_MASK,20260917_154533_01569_ueuue
2026-09-17T15:45:33.671487Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154533_01569_ueuue
2026-09-17T15:45:33.671480Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154533_01569_ueuue
2026-09-17T15:45:33.671471Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154533_01569_ueuue
2026-09-17T15:45:33.671450Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154533_01569_ueuue
2026-09-17T15:45:33.664042Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01569_ueuue
2026-09-17T15:45:33.612462Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01568_ueuue
2026-09-17T15:45:33.570030Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01567_ueuue
2026-09-17T15:45:33.483115Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.*,ROW_FILTER,20260917_154533_01566_ueuue
2026-09-17T15:45:33.479092Z,gov-tha,gov_thailand_analyst|public,SELECT,Tables,"js_financial_ice.gov_demo.customer_transactions.[account_id,country_code,customer_name,mobile_number,national_id,email]",ALLOW,20260917_154533_01566_ueuue
2026-09-17T15:45:33.477863Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.account_id,COLUMN_MASK,20260917_154533_01566_ueuue
2026-09-17T15:45:33.477847Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.email,COLUMN_MASK,20260917_154533_01566_ueuue
2026-09-17T15:45:33.477831Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.mobile_number,COLUMN_MASK,20260917_154533_01566_ueuue
2026-09-17T15:45:33.477812Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.national_id,COLUMN_MASK,20260917_154533_01566_ueuue
2026-09-17T15:45:33.477777Z,gov-tha,gov_thailand_analyst|public,(ANY),Tables,js_financial_ice.gov_demo.customer_transactions.customer_name,COLUMN_MASK,20260917_154533_01566_ueuue
2026-09-17T15:45:33.471097Z,gov-tha,gov_thailand_analyst|public,EXECUTE,Queries,,ALLOW,20260917_154533_01566_ueuue
